Name,Day,Time,Weather Conditions,Temperature Category,Temperature,Temperature Scale,Rain
Accra,Sun,19:10:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Dublin,Sun,20:10:00,Partly sunny,Mild,68,Fahrenheit,No Rain
Nairobi,Sun,22:10:00,Passing clouds,Mild,68,Fahrenheit,No Rain
Addis Ababa,Sun,22:10:00,Rain. Overcast,Cool,59,Fahrenheit,Rain
Edmonton,Sun,13:10:00,Overcast,Cool,57,Fahrenheit,No Rain
Nassau,Sun,15:10:00,Broken clouds,Hot,90,Fahrenheit,No Rain
Adelaide,Mon,04:40:00,No Weather Condition Given,Quite cool,51,Fahrenheit,Unknown
Frankfurt,Sun,21:10:00,Clear,Mild,73,Fahrenheit,No Rain
New Delhi,Mon,00:40:00,Fog,Warm,78,Fahrenheit,No Rain
Algiers,Sun,20:10:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Guatemala City,Sun,13:10:00,Light rain. Scattered clouds,Warm,79,Fahrenheit,Rain
New Orleans,Sun,14:10:00,Sunny,Warm,85,Fahrenheit,No Rain
Almaty,Mon,00:10:00,Clear,Refreshingly cool,59,Fahrenheit,No Rain
Halifax,Sun,16:10:00,Mostly cloudy,Cool,55,Fahrenheit,No Rain
New York,Sun,15:10:00,Broken clouds,Mild,74,Fahrenheit,No Rain
Amman,Sun,22:10:00,Clear,Warm,77,Fahrenheit,No Rain
Hanoi,Mon,02:10:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Oslo,Sun,21:10:00,Clear,Cool,57,Fahrenheit,No Rain
Amsterdam,Sun,21:10:00,Clear,Mild,64,Fahrenheit,No Rain
Harare,Sun,21:10:00,Partly sunny,Mild,71,Fahrenheit,No Rain
Ottawa,Sun,15:10:00,Partly sunny,Mild,72,Fahrenheit,No Rain
Anadyr,Mon,07:10:00,Overcast,Cool,46,Fahrenheit,No Rain
Havana,Sun,15:10:00,No Weather Condition Given,Warm,79,Fahrenheit,Unknown
Paris,Sun,21:10:00,Clear,Pleasantly warm,77,Fahrenheit,No Rain
Anchorage,Sun,11:10:00,Overcast,Cool,52,Fahrenheit,No Rain
Helsinki,Sun,22:10:00,Passing clouds,Cool,46,Fahrenheit,No Rain
Perth,Mon,03:10:00,Overcast,Cool,55,Fahrenheit,No Rain
Ankara,Sun,22:10:00,Clear,Mild,73,Fahrenheit,No Rain
Hong Kong,Mon,03:10:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Philadelphia,Sun,15:10:00,Scattered clouds,Warm,80,Fahrenheit,No Rain
Antananarivo,Sun,22:10:00,Passing clouds,Cool,61,Fahrenheit,No Rain
Honolulu,Sun,09:10:00,Broken clouds,Warm,81,Fahrenheit,No Rain
Phoenix,Sun,12:10:00,Broken clouds,Extremely hot,98,Fahrenheit,No Rain
Asuncion,Sun,16:10:00,Sunny,Mild,66,Fahrenheit,No Rain
Houston,Sun,14:10:00,Cloudy,Warm,86,Fahrenheit,No Rain
Prague,Sun,21:10:00,Clear,Refreshingly cool,57,Fahrenheit,No Rain
Athens,Sun,22:10:00,No Weather Condition Given,Warm,87,Fahrenheit,Unknown
Indianapolis,Sun,15:10:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Reykjavik,Sun,19:10:00,Scattered clouds,Refreshingly cool,59,Fahrenheit,No Rain
Atlanta,Sun,15:10:00,Sunny,Hot,93,Fahrenheit,No Rain
Islamabad,Mon,00:10:00,Haze,Warm,80,Fahrenheit,No Rain
Rio de Janeiro,Sun,16:10:00,Mostly cloudy,Mild,63,Fahrenheit,No Rain
Auckland,Mon,07:10:00,Mostly cloudy,Cool,59,Fahrenheit,No Rain
Istanbul,Sun,22:10:00,Clear,Mild,75,Fahrenheit,No Rain
Riyadh,Sun,22:10:00,Clear,Extremely hot,95,Fahrenheit,No Rain
Baghdad,Sun,22:10:00,Sunny,Extremely hot,108,Fahrenheit,No Rain
Jakarta,Mon,02:10:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Rome,Sun,21:10:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Bangkok,Mon,02:10:00,Light rain. Passing clouds,Warm,81,Fahrenheit,Rain
Jerusalem,Sun,22:10:00,No Weather Condition Given,Mild,72,Fahrenheit,Unknown
Salt Lake City,Sun,13:10:00,Broken clouds,Pleasantly warm,85,Fahrenheit,No Rain
Barcelona,Sun,21:10:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Johannesburg,Sun,21:10:00,Fog,Cool,52,Fahrenheit,No Rain
San Francisco,Sun,12:10:00,Passing clouds,Mild,68,Fahrenheit,No Rain
Beijing,Mon,03:10:00,Clear,Mild,73,Fahrenheit,No Rain
Karachi,Mon,00:10:00,Partly cloudy,Warm,82,Fahrenheit,No Rain
San Juan,Sun,15:10:00,Broken clouds,Hot,88,Fahrenheit,No Rain
Beirut,Sun,22:10:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Kathmandu,Mon,00:55:00,Heavy rain. Partly cloudy,Mild,70,Fahrenheit,Rain
San Salvador,Sun,13:10:00,Scattered clouds,Warm,86,Fahrenheit,No Rain
Belgrade,Sun,21:10:00,Clear,Mild,72,Fahrenheit,No Rain
Kingston,Sun,14:10:00,No Weather Condition Given,Hot,91,Fahrenheit,Unknown
Santiago,Sun,16:10:00,Sunny,Mild,70,Fahrenheit,No Rain
Bengaluru,Mon,00:40:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Kinshasa,Sun,20:10:00,Clear,Warm,88,Fahrenheit,No Rain
Santo Domingo,Sun,15:10:00,Overcast,Hot,89,Fahrenheit,No Rain
