Name,Day,Time,Weather Conditions,Temperature Category,Temperature,Temperature Scale,Rain
Abidjan,Tuesday,11:48:00,Scattered clouds,Warm,84,Fahrenheit,No Rain
Lima,Tuesday,06:48:00,Passing clouds,Mild,69,Fahrenheit,No Rain
Abu Dhabi,Tuesday,15:48:00,Sunny,Extremely hot,104,Fahrenheit,No Rain
Lisbon,Tuesday,12:48:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Accra,Tuesday,11:48:00,Cloudy,Warm,84,Fahrenheit,No Rain
Ljubljana,Tuesday,13:48:00,Passing clouds,Mild,72,Fahrenheit,No Rain
Addis Ababa,Tuesday,14:48:00,Scattered clouds,Mild,73,Fahrenheit,No Rain
Lomé,Tuesday,11:48:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Adelaide,Tuesday,21:18:00,No Weather Condition Given,Quite cool,54,Fahrenheit,Unknown
London,Tuesday,12:48:00,Partly sunny,Mild,72,Fahrenheit,No Rain
Alert,Tuesday,07:48:00,Scattered clouds,Cold,12,Fahrenheit,No Rain
Longyearbyen,Tuesday,13:48:00,Passing clouds,Chilly,36,Fahrenheit,No Rain
Algiers,Tuesday,12:48:00,Scattered clouds,Warm,78,Fahrenheit,No Rain
Los Angeles,Tuesday,04:48:00,Overcast,Mild,71,Fahrenheit,No Rain
Alice Springs,Tuesday,21:18:00,Clear,Mild,64,Fahrenheit,No Rain
Luanda,Tuesday,12:48:00,Broken clouds,Warm,79,Fahrenheit,No Rain
Almaty,Tuesday,16:48:00,Passing clouds,Pleasantly warm,86,Fahrenheit,No Rain
Lusaka,Tuesday,13:48:00,Clear,Hot,90,Fahrenheit,No Rain
Alofi,Tuesday,00:48:00,No Weather Condition Given,Mild,68,Fahrenheit,Unknown
Luxembourg,Tuesday,13:48:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Amman,Tuesday,14:48:00,Haze,Hot,91,Fahrenheit,No Rain
Madrid,Tuesday,13:48:00,Sunny,Pleasantly warm,86,Fahrenheit,No Rain
Amsterdam,Tuesday,13:48:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Magadan,Tuesday,22:48:00,Sprinkles. Overcast,Quite cool,43,Fahrenheit,Rain
Anadyr,Tuesday,23:48:00,Overcast,Cool,46,Fahrenheit,No Rain
Majuro,Tuesday,23:48:00,Mostly cloudy,Warm,84,Fahrenheit,No Rain
Anchorage,Tuesday,03:48:00,Light rain. Fog,Cool,54,Fahrenheit,Rain
Makassar,Tuesday,19:48:00,Passing clouds,Pleasantly warm,84,Fahrenheit,No Rain
Ankara,Tuesday,14:48:00,Partly sunny,Mild,75,Fahrenheit,No Rain
Malabo,Tuesday,12:48:00,Drizzle. Partly sunny,Warm,79,Fahrenheit,No Rain
Antananarivo,Tuesday,14:48:00,Drizzle. Broken clouds,Mild,66,Fahrenheit,No Rain
Male,Tuesday,16:48:00,Partly sunny,Warm,82,Fahrenheit,No Rain
Apia,Wednesday,00:48:00,Passing clouds,Warm,80,Fahrenheit,No Rain
Managua,Tuesday,05:48:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Ashgabat,Tuesday,16:48:00,Scattered clouds,Extremely hot,93,Fahrenheit,No Rain
Manama,Tuesday,14:48:00,Sunny,Extremely hot,102,Fahrenheit,No Rain
Astana,Tuesday,16:48:00,Partly sunny,Mild,64,Fahrenheit,No Rain
Manaus,Tuesday,07:48:00,Sunny,Warm,81,Fahrenheit,No Rain
Asuncion,Tuesday,08:48:00,Sunny,Cool,59,Fahrenheit,No Rain
Manila,Tuesday,19:48:00,Scattered clouds,Warm,85,Fahrenheit,No Rain
Athens,Tuesday,14:48:00,No Weather Condition Given,Mild,75,Fahrenheit,Unknown
Manokwari,Tuesday,20:48:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Atlanta,Tuesday,07:48:00,Clear,Mild,70,Fahrenheit,No Rain
Marion Island (Prince Edward Islands),Tuesday,14:48:00,Light rain. Overcast,Cool,51,Fahrenheit,Rain
Auckland,Tuesday,23:48:00,Partly cloudy,Cool,54,Fahrenheit,No Rain
Mary's Harbour,Tuesday,09:18:00,Sunny,Cool,52,Fahrenheit,No Rain
Baghdad,Tuesday,14:48:00,Sunny,Extremely hot,107,Fahrenheit,No Rain
Maseru,Tuesday,13:48:00,Partly sunny,Refreshingly cool,57,Fahrenheit,No Rain
Baker Lake,Tuesday,06:48:00,Passing clouds,Chilly,33,Fahrenheit,No Rain
Mbabane,Tuesday,13:48:00,Passing clouds,Pleasantly warm,82,Fahrenheit,No Rain
Baku,Tuesday,15:48:00,Passing clouds,Warm,86,Fahrenheit,No Rain
Melbourne,Tuesday,21:48:00,Sprinkles. Passing clouds,Quite cool,45,Fahrenheit,Rain
Bamako,Tuesday,11:48:00,Sunny,Hot,90,Fahrenheit,No Rain
Mexico City,Tuesday,05:48:00,Passing clouds,Cool,55,Fahrenheit,No Rain
Bandar Seri Begawan,Tuesday,19:49:00,Passing clouds,Warm,86,Fahrenheit,No Rain
Miami,Tuesday,07:49:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Bangkok,Tuesday,18:49:00,Thunderstorms. Partly sunny,Warm,77,Fahrenheit,Rain
Midway,Tuesday,00:49:00,Mostly cloudy,Mild,75,Fahrenheit,No Rain
Bangui,Tuesday,12:49:00,Partly sunny,Extremely hot,93,Fahrenheit,No Rain
Minneapolis,Tuesday,06:49:00,Clear,Cool,60,Fahrenheit,No Rain
