Name,Day,Time,Weather Conditions,Temperature Category,Temperature,Temperature Scale,Rain
Abidjan,Tuesday,11:50:00,Scattered clouds,Warm,84,Fahrenheit,No Rain
Luanda,Tuesday,12:50:00,Broken clouds,Warm,79,Fahrenheit,No Rain
Abu Dhabi,Tuesday,15:50:00,Sunny,Extremely hot,104,Fahrenheit,No Rain
Ludhiana,Tuesday,17:20:00,Scattered clouds,Hot,93,Fahrenheit,No Rain
Acapulco,Tuesday,05:50:00,Mostly cloudy,Warm,81,Fahrenheit,No Rain
Lusaka,Tuesday,13:50:00,Clear,Hot,90,Fahrenheit,No Rain
Accra,Tuesday,11:50:00,Cloudy,Warm,84,Fahrenheit,No Rain
Luxembourg,Tuesday,13:50:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Addis Ababa,Tuesday,14:50:00,Scattered clouds,Mild,73,Fahrenheit,No Rain
Madison,Tuesday,06:50:00,Overcast,Mild,65,Fahrenheit,No Rain
Adelaide,Tuesday,21:20:00,No Weather Condition Given,Quite cool,54,Fahrenheit,Unknown
Madrid,Tuesday,13:50:00,Sunny,Pleasantly warm,86,Fahrenheit,No Rain
Aden,Tuesday,14:50:00,Scattered clouds,Extremely hot,95,Fahrenheit,No Rain
Magadan,Tuesday,22:50:00,Sprinkles. Overcast,Quite cool,43,Fahrenheit,Rain
Aguascalientes,Tuesday,05:50:00,Passing clouds,Cool,61,Fahrenheit,No Rain
Majuro,Tuesday,23:50:00,Mostly cloudy,Warm,84,Fahrenheit,No Rain
Ahmedgarh,Tuesday,17:20:00,Scattered clouds,Hot,93,Fahrenheit,No Rain
Makassar,Tuesday,19:50:00,Passing clouds,Pleasantly warm,84,Fahrenheit,No Rain
Albuquerque,Tuesday,05:50:00,Partly cloudy,Mild,64,Fahrenheit,No Rain
Makkah,Tuesday,14:50:00,Sunny,Extremely hot,100,Fahrenheit,No Rain
Alert,Tuesday,07:50:00,Scattered clouds,Cold,12,Fahrenheit,No Rain
Malabo,Tuesday,12:50:00,Drizzle. Partly sunny,Warm,79,Fahrenheit,No Rain
Algiers,Tuesday,12:50:00,Scattered clouds,Warm,78,Fahrenheit,No Rain
Male,Tuesday,16:50:00,Partly sunny,Warm,82,Fahrenheit,No Rain
Alice Springs,Tuesday,21:20:00,Clear,Mild,64,Fahrenheit,No Rain
Manado,Tuesday,19:50:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Almaty,Tuesday,16:50:00,Passing clouds,Pleasantly warm,86,Fahrenheit,No Rain
Managua,Tuesday,05:50:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Alofi,Tuesday,00:50:00,No Weather Condition Given,Mild,68,Fahrenheit,Unknown
Manama,Tuesday,14:50:00,Sunny,Extremely hot,102,Fahrenheit,No Rain
Amman,Tuesday,14:50:00,Haze,Hot,91,Fahrenheit,No Rain
Manaus,Tuesday,07:50:00,Sunny,Warm,81,Fahrenheit,No Rain
Amsterdam,Tuesday,13:50:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Manila,Tuesday,19:50:00,Scattered clouds,Warm,85,Fahrenheit,No Rain
Anadyr,Tuesday,23:50:00,Overcast,Cool,46,Fahrenheit,No Rain
Manokwari,Tuesday,20:50:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Anchorage,Tuesday,03:50:00,Light rain. Fog,Cool,54,Fahrenheit,Rain
Marion Island (Prince Edward Islands),Tuesday,14:50:00,Light rain. Overcast,Cool,51,Fahrenheit,Rain
Ankara,Tuesday,14:50:00,Partly sunny,Mild,75,Fahrenheit,No Rain
Mary's Harbour,Tuesday,09:20:00,Sunny,Cool,52,Fahrenheit,No Rain
Antananarivo,Tuesday,14:50:00,Drizzle. Broken clouds,Mild,66,Fahrenheit,No Rain
Maseru,Tuesday,13:50:00,Partly sunny,Refreshingly cool,57,Fahrenheit,No Rain
Apia,Wednesday,00:50:00,Passing clouds,Warm,80,Fahrenheit,No Rain
Mazatlan,Tuesday,04:50:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Aqtobe,Tuesday,16:50:00,Passing clouds,Pleasantly warm,82,Fahrenheit,No Rain
Mbabane,Tuesday,13:50:00,Passing clouds,Pleasantly warm,82,Fahrenheit,No Rain
Ashgabat,Tuesday,16:50:00,Scattered clouds,Extremely hot,93,Fahrenheit,No Rain
Medina,Tuesday,14:50:00,Passing clouds,Extremely hot,109,Fahrenheit,No Rain
Astana,Tuesday,16:50:00,Partly sunny,Mild,64,Fahrenheit,No Rain
Melbourne,Tuesday,21:50:00,Sprinkles. Passing clouds,Quite cool,45,Fahrenheit,Rain
Asuncion,Tuesday,08:50:00,Sunny,Cool,59,Fahrenheit,No Rain
Mexicali,Tuesday,04:50:00,Clear,Warm,86,Fahrenheit,No Rain
Athens,Tuesday,14:50:00,No Weather Condition Given,Mild,75,Fahrenheit,Unknown
Mexico City,Tuesday,05:50:00,Passing clouds,Cool,55,Fahrenheit,No Rain
Atlanta,Tuesday,07:50:00,Clear,Mild,70,Fahrenheit,No Rain
Miami,Tuesday,07:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Auckland,Tuesday,23:50:00,Partly cloudy,Cool,54,Fahrenheit,No Rain
Midland,Tuesday,06:50:00,Clear,Warm,79,Fahrenheit,No Rain
Augusta,Tuesday,07:50:00,Sunny,Cool,47,Fahrenheit,No Rain
Midway,Tuesday,00:50:00,Mostly cloudy,Mild,75,Fahrenheit,No Rain
Austin,Tuesday,06:50:00,Clear,Warm,79,Fahrenheit,No Rain
Milan,Tuesday,13:50:00,Clear,Warm,79,Fahrenheit,No Rain
Baghdad,Tuesday,14:50:00,Sunny,Extremely hot,107,Fahrenheit,No Rain
Milwaukee,Tuesday,06:50:00,Passing clouds,Mild,63,Fahrenheit,No Rain
Baker Lake,Tuesday,06:50:00,Passing clouds,Chilly,33,Fahrenheit,No Rain
Minneapolis,Tuesday,06:50:00,Clear,Cool,60,Fahrenheit,No Rain
Baku,Tuesday,15:50:00,Passing clouds,Warm,86,Fahrenheit,No Rain
Minsk,Tuesday,14:50:00,Scattered clouds,Mild,66,Fahrenheit,No Rain
Balikpapan,Tuesday,19:50:00,Passing clouds,Warm,83,Fahrenheit,No Rain
Monaco,Tuesday,13:50:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Baltimore,Tuesday,07:50:00,Passing clouds,Cool,53,Fahrenheit,No Rain
Monrovia,Tuesday,11:50:00,Partly sunny,Warm,82,Fahrenheit,No Rain
Bamako,Tuesday,11:50:00,Sunny,Hot,90,Fahrenheit,No Rain
Montevideo,Tuesday,08:50:00,Sunny,Cool,48,Fahrenheit,No Rain
Bandar Seri Begawan,Tuesday,19:50:00,Passing clouds,Warm,86,Fahrenheit,No Rain
Montgomery,Tuesday,06:50:00,Clear,Mild,75,Fahrenheit,No Rain
Bangkok,Tuesday,18:50:00,Thunderstorms. Partly sunny,Warm,77,Fahrenheit,Rain
Montpelier,Tuesday,07:50:00,Fog,Chilly,38,Fahrenheit,No Rain
Bangui,Tuesday,12:50:00,Partly sunny,Extremely hot,93,Fahrenheit,No Rain
Montréal,Tuesday,07:50:00,Passing clouds,Cool,46,Fahrenheit,No Rain
Banjul,Tuesday,11:50:00,Broken clouds,Mild,75,Fahrenheit,No Rain
Moroni,Tuesday,14:50:00,Partly sunny,Warm,79,Fahrenheit,No Rain
Barcelona,Tuesday,13:50:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Moscow,Tuesday,14:50:00,Overcast,Cool,60,Fahrenheit,No Rain
